xlength,vel,fren,marcha,revact,comb,xtime
25956,139,68,-1,5500,-273.0,746
26001,30,164,6,2974,-273.5,747
26037,61,133,3,1667,-274.0,748
26058,188,102,5,2667,-274.5,749
26097,86,61,2,484,-275.0,750
26138,59,22,6,4632,-275.5,751
26166,63,17,-1,7423,-276.0,752
26190,77,139,5,1310,-276.5,753
26232,127,35,6,5889,-277.0,754
26281,184,59,6,3163,-277.5,755
26318,29,158,4,2086,-278.0,756
26339,164,97,4,1222,-278.5,757
26359,172,114,2,3738,-279.0,758
26401,10,33,5,6630,-279.5,759
26433,163,75,1,4745,-280.0,760
26466,180,159,-1,3269,-280.5,761
26502,152,30,5,7852,-281.0,762
26527,138,34,2,4825,-281.5,763
26576,83,8,-1,6018,-282.0,764
26612,79,97,4,7948,-282.5,765
26660,29,1,5,3621,-283.0,766
26686,112,157,3,6468,-283.5,767
